ID,Exercise,Command,Environment,Commit,ExpectedResult,ActualResult,TimestampUTC,Artifact,Owner,Status
LOCAL-01,Frontend lint,npm.cmd run lint,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,Zero errors and warnings,Exit 0 with zero errors and warnings,2026-08-09T17:04:18Z,FINAL_LAUNCH_AUDIT.md exact local check evidence,Engineering owner,PASS
LOCAL-02,Frontend unit and component tests,npm.cmd test,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,All tests pass without skips,Exit 0 with 68 passed and zero failed skipped or todo,2026-08-09T17:04:18Z,FINAL_LAUNCH_AUDIT.md exact local check evidence,Engineering owner,PASS
LOCAL-03,Production frontend build,npm.cmd run build,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,Typed resource validation and build pass,Exit 0 with 15 resources and 56 modules built and zero review warnings,2026-08-09T17:04:18Z,frontend/dist for uncommitted Peer-navigation diff SHA256 C8AA8D3BE8C3AFED362FCDA170B5E628945F643D93AC3CE46F60F919FDE59737,Engineering owner,PASS
LOCAL-04,Six-project E2E and axe,npm.cmd run test:e2e,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,All 320px iPhone Android tablet and desktop cases pass and process exits zero,Exit 0 with 48 passed across six projects in 3.6 minutes including restored Peer tab unavailable screen active state and axe checks,2026-08-09T17:04:18Z,Playwright terminal evidence summarized in FINAL_LAUNCH_AUDIT.md,Accessibility engineering owner,PASS
LOCAL-05,Backend privacy authorization abuse and outage tests,backend\venv\Scripts\python.exe -m pytest -q,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,All backend tests pass without skips,Exit 0 with 104 passed and one upstream deprecation warning,2026-08-09T17:04:18Z,FINAL_LAUNCH_AUDIT.md exact local check evidence,Backend engineering owner,PASS
LOCAL-06,Npm production dependency audit,npm.cmd audit --omit=dev,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,No known production vulnerabilities,Exit 0 with zero vulnerabilities,2026-08-09T16:34:04Z,frontend/package-lock.json and FINAL_LAUNCH_AUDIT.md,Security engineering owner,PASS
LOCAL-07,Python dependency integrity,backend\venv\Scripts\python.exe -m pip check,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,No broken requirements,Exit 0 with no broken requirements,2026-08-09T16:34:04Z,backend/requirements.txt and FINAL_LAUNCH_AUDIT.md,Backend engineering owner,PASS
LOCAL-08,Python dependency vulnerability audit,backend\venv\Scripts\python.exe -m pip_audit -r backend\requirements.txt,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,No known vulnerabilities,Exit 0 with no known vulnerabilities,2026-08-09T16:34:04Z,backend/requirements.txt and FINAL_LAUNCH_AUDIT.md,Security engineering owner,PASS
LOCAL-09,Resource schema and deadline validation,RESOURCE_WARNINGS_AS_ERRORS=true node --require ./scripts/node-userinfo-shim.cjs --import tsx scripts/validate-resources.ts,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,All records validate and no review warning remains,Exit 0 with 15 records and zero warnings,2026-08-09T16:34:04Z,frontend/src/resources/registry.ts and RESOURCE_AUDIT_2026-08-09.md,Resource registry steward,PASS
LOCAL-10,Official resource-link validation,npm.cmd run check:resource-links,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,All automated links succeed and blocked hosts are identified for manual review,Exit 0 with 17 links checked and SAMHSA HTTP 403 retained for manual review,2026-08-09T16:34:04Z,RESOURCE_SECOND_REVIEW_SHEET_2026-08-09.md,Resource registry steward,PASS
